---Best Solution---
Total Value: 4334755
Item 1 not selected.
Item 2 not selected.
Item 3 not selected.
Item 4 not selected.
Item 5 not selected.
Item 6 not selected.
Item 7 not selected.
Item 8 not selected.
Item 9 not selected.
Item 10 not selected.
Item 11 not selected.
Item 12 not selected.
Item 13 not selected.
Item 14 selected.
Item 15 not selected.
Item 16 not selected.
Item 17 not selected.
Item 18 selected.
Item 19 not selected.
Item 20 not selected.
Item 21 not selected.
Item 22 not selected.
Item 23 not selected.
Item 24 not selected.
Item 25 not selected.
Item 26 not selected.
Item 27 not selected.
Item 28 not selected.
Item 29 not selected.
Item 30 not selected.
Item 31 selected.
Item 32 not selected.
Item 33 not selected.
Item 34 selected.
Item 35 not selected.
Item 36 not selected.
Item 37 not selected.
Item 38 not selected.
Item 39 not selected.
Item 40 not selected.
Item 41 not selected.
Item 42 not selected.
Item 43 not selected.
Item 44 not selected.
Item 45 not selected.
Item 46 not selected.
Item 47 not selected.
Item 48 not selected.
Item 49 not selected.
Item 50 not selected.
Item 51 not selected.
Item 52 not selected.
Item 53 not selected.
Item 54 not selected.
Item 55 not selected.
Item 56 not selected.
Item 57 not selected.
Item 58 not selected.
Item 59 not selected.
Item 60 not selected.
Item 61 not selected.
Item 62 not selected.
Item 63 not selected.
Item 64 not selected.
Item 65 not selected.
Item 66 not selected.
Item 67 not selected.
Item 68 not selected.
Item 69 not selected.
Item 70 not selected.
Item 71 not selected.
Item 72 not selected.
Item 73 not selected.
Item 74 not selected.
Item 75 not selected.
Item 76 not selected.
Item 77 not selected.
Item 78 not selected.
Item 79 not selected.
Item 80 not selected.
Item 81 not selected.
Item 82 not selected.
Item 83 not selected.
Item 84 not selected.
Item 85 not selected.
Item 86 not selected.
Item 87 not selected.
Item 88 not selected.
Item 89 not selected.
Item 90 not selected.
Item 91 not selected.
Item 92 not selected.
Item 93 not selected.
Item 94 not selected.
Item 95 not selected.
Item 96 not selected.
Item 97 not selected.
Item 98 not selected.
Item 99 not selected.
Item 100 not selected.
Item 101 not selected.
Item 102 not selected.
Item 103 not selected.
Item 104 not selected.
Item 105 not selected.
Item 106 not selected.
Item 107 not selected.
Item 108 not selected.
Item 109 not selected.
Item 110 not selected.
Item 111 selected.
Item 112 not selected.
Item 113 not selected.
Item 114 not selected.
Item 115 not selected.
Item 116 not selected.
Item 117 not selected.
Item 118 not selected.
Item 119 not selected.
Item 120 not selected.
Item 121 not selected.
Item 122 not selected.
Item 123 selected.
Item 124 not selected.
Item 125 not selected.
Item 126 not selected.
Item 127 not selected.
Item 128 not selected.
Item 129 not selected.
Item 130 not selected.
Item 131 not selected.
Item 132 not selected.
Item 133 selected.
Item 134 not selected.
Item 135 not selected.
Item 136 not selected.
Item 137 selected.
Item 138 selected.
Item 139 not selected.
Item 140 not selected.
Item 141 not selected.
Item 142 not selected.
Item 143 not selected.
Item 144 not selected.
Item 145 not selected.
Item 146 not selected.
Item 147 not selected.
Item 148 not selected.
Item 149 not selected.
Item 150 not selected.
Item 151 not selected.
Item 152 not selected.
Item 153 not selected.
Item 154 not selected.
Item 155 not selected.
Item 156 not selected.
Item 157 selected.
Item 158 not selected.
Item 159 not selected.
Item 160 not selected.
Item 161 not selected.
Item 162 not selected.
Item 163 not selected.
Item 164 not selected.
Item 165 not selected.
Item 166 not selected.
Item 167 not selected.
Item 168 not selected.
Item 169 not selected.
Item 170 not selected.
Item 171 not selected.
Item 172 not selected.
Item 173 not selected.
Item 174 not selected.
Item 175 not selected.
Item 176 not selected.
Item 177 not selected.
Item 178 not selected.
Item 179 not selected.
Item 180 not selected.
Item 181 not selected.
Item 182 selected.
Item 183 not selected.
Item 184 not selected.
Item 185 not selected.
Item 186 not selected.
Item 187 not selected.
Item 188 not selected.
Item 189 not selected.
Item 190 not selected.
Item 191 not selected.
Item 192 not selected.
Item 193 not selected.
Item 194 not selected.
Item 195 not selected.
Item 196 not selected.
Item 197 not selected.
Item 198 not selected.
Item 199 not selected.
Item 200 not selected.
Item 201 not selected.
Item 202 not selected.
Item 203 not selected.
Item 204 not selected.
Item 205 not selected.
Item 206 not selected.
Item 207 not selected.
Item 208 not selected.
Item 209 not selected.
Item 210 selected.
Item 211 not selected.
Item 212 not selected.
Item 213 not selected.
Item 214 not selected.
Item 215 not selected.
Item 216 not selected.
Item 217 not selected.
Item 218 not selected.
Item 219 not selected.
Item 220 not selected.
Item 221 selected.
Item 222 not selected.
Item 223 not selected.
Item 224 not selected.
Item 225 not selected.
Item 226 not selected.
Item 227 not selected.
Item 228 not selected.
Item 229 not selected.
Item 230 not selected.
Item 231 not selected.
Item 232 not selected.
Item 233 not selected.
Item 234 not selected.
Item 235 not selected.
Item 236 not selected.
Item 237 not selected.
Item 238 not selected.
Item 239 not selected.
Item 240 selected.
Item 241 selected.
Item 242 not selected.
Item 243 not selected.
Item 244 not selected.
Item 245 not selected.
Item 246 not selected.
Item 247 not selected.
Item 248 not selected.
Item 249 not selected.
Item 250 not selected.
Item 251 not selected.
Item 252 not selected.
Item 253 not selected.
Item 254 not selected.
Item 255 not selected.
Item 256 not selected.
Item 257 not selected.
Item 258 selected.
Item 259 not selected.
Item 260 not selected.
Item 261 not selected.
Item 262 selected.
Item 263 not selected.
Item 264 not selected.
Item 265 not selected.
